Code,Dia,Hachou,Zenchou
05WHNSB0200-TH,2,20,66
05WHNSB0210-TH,2.1,24,74
05WHNSB0220-TH,2.2,24,74
05WHNSB0230-TH,2.3,24,74
05WHNSB0240-TH,2.4,24,74
05WHNSB0250-TH,2.5,24,74
05WHNSB0260-TH,2.6,29,79
05WHNSB0270-TH,2.7,29,79
05WHNSB0280-TH,2.8,29,79
05WHNSB0290-TH,2.9,29,79
05WHNSB0300-TH,3,29,79
05WHNSB0310-TH,3.1,37,87
05WHNSB0320-TH,3.2,37,87
05WHNSB0330-TH,3.3,37,87
05WHNSB0340-TH,3.4,37,87
05WHNSB0350-TH,3.5,37,87
05WHNSB0360-TH,3.6,37,87
05WHNSB0370-TH,3.7,37,87
05WHNSB0380-TH,3.8,37,87
05WHNSB0390-TH,3.9,37,87
05WHNSB0400-TH,4,37,87
05WHNSB0410-TH,4.1,47,100
05WHNSB0420-TH,4.2,47,100
05WHNSB0430-TH,4.3,47,100
05WHNSB0440-TH,4.4,47,100
05WHNSB0450-TH,4.5,47,100
05WHNSB0460-TH,4.6,47,100
05WHNSB0470-TH,4.7,47,100
05WHNSB0480-TH,4.8,47,100
05WHNSB0490-TH,4.9,47,100
05WHNSB0500-TH,5,47,100
05WHNSB0510-TH,5.1,47,100
05WHNSB0520-TH,5.2,47,100
05WHNSB0530-TH,5.3,47,100
05WHNSB0540-TH,5.4,47,100
05WHNSB0550-TH,5.5,47,100
05WHNSB0560-TH,5.6,47,100
05WHNSB0570-TH,5.7,47,100
05WHNSB0580-TH,5.8,47,100
05WHNSB0590-TH,5.9,47,100
05WHNSB0600-TH,6,47,100
05WHNSB0610-TH,6.1,55,110
05WHNSB0620-TH,6.2,55,110
05WHNSB0630-TH,6.3,55,110
05WHNSB0640-TH,6.4,55,110
05WHNSB0650-TH,6.5,55,110
05WHNSB0660-TH,6.6,55,110
05WHNSB0670-TH,6.7,55,110
05WHNSB0680-TH,6.8,55,110
05WHNSB0690-TH,6.9,55,110
05WHNSB0700-TH,7,55,110
05WHNSB0710-TH,7.1,63,119
05WHNSB0720-TH,7.2,63,119
05WHNSB0730-TH,7.3,63,119
05WHNSB0740-TH,7.4,63,119
05WHNSB0750-TH,7.5,63,119
05WHNSB0760-TH,7.6,63,119
05WHNSB0770-TH,7.7,63,119
05WHNSB0780-TH,7.8,63,119
05WHNSB0790-TH,7.9,63,119
05WHNSB0800-TH,8,63,119
05WHNSB0810-TH,8.1,71,128
05WHNSB0820-TH,8.2,71,128
05WHNSB0830-TH,8.3,71,128
05WHNSB0840-TH,8.4,71,128
05WHNSB0850-TH,8.5,71,128
05WHNSB0860-TH,8.6,71,128
05WHNSB0870-TH,8.7,71,128
05WHNSB0880-TH,8.8,71,128
05WHNSB0890-TH,8.9,71,128
05WHNSB0900-TH,9,71,128
05WHNSB0910-TH,9.1,79,137
05WHNSB0920-TH,9.2,79,137
05WHNSB0930-TH,9.3,79,137
05WHNSB0940-TH,9.4,79,137
05WHNSB0950-TH,9.5,79,137
05WHNSB0960-TH,9.6,79,137
05WHNSB0970-TH,9.7,79,137
05WHNSB0980-TH,9.8,79,137
05WHNSB0990-TH,9.9,79,137
05WHNSB1000-TH,10,79,137
05WHNSB1010-TH,10.1,87,150
05WHNSB1020-TH,10.2,87,150
05WHNSB1030-TH,10.3,87,150
05WHNSB1040-TH,10.4,87,150
05WHNSB1050-TH,10.5,87,150
05WHNSB1060-TH,10.6,87,150
05WHNSB1070-TH,10.7,87,150
05WHNSB1080-TH,10.8,87,150
05WHNSB1090-TH,10.9,87,150
05WHNSB1100-TH,11,87,150
05WHNSB1110-TH,11.1,93,156
05WHNSB1120-TH,11.2,93,156
05WHNSB1130-TH,11.3,93,156
05WHNSB1140-TH,11.4,93,156
05WHNSB1150-TH,11.5,93,156
05WHNSB1160-TH,11.6,93,156
05WHNSB1170-TH,11.7,93,156
05WHNSB1180-TH,11.8,93,156
05WHNSB1190-TH,11.9,93,156
05WHNSB1200-TH,12,93,156
05WHNSB1210-TH,12.1,104,169
05WHNSB1220-TH,12.2,104,169
05WHNSB1230-TH,12.3,104,169
05WHNSB1240-TH,12.4,104,169
05WHNSB1250-TH,12.5,104,169
05WHNSB1260-TH,12.6,104,169
05WHNSB1270-TH,12.7,104,169
05WHNSB1280-TH,12.8,104,169
05WHNSB1290-TH,12.9,104,169
05WHNSB1300-TH,13,104,169
