径	Ferramenta	T番号
2	ソリッドドリル	112
2.5	ソリッドドリル	117
2.8	ソリッドドリル	113
3	ソリッドドリル	114
3.3	ソリッドドリル	102
3.5	ソリッドドリル	105
4	ソリッドドリル	108
4.2	ソリッドドリル	71
4.5	ソリッドドリル	109
5	ソリッドドリル	72
5.5	ソリッドドリル	101
6	ソリッドドリル	73
6.8	ソリッドドリル	74
6.9	ソリッドドリル	130
7	ソリッドドリル	76
7.5	カムドリル	75
7.7	カムドリル	121
8	カムドリル	110
8.5	カムドリル	77
9	カムドリル	78
9.5	カムドリル	79
9.7	カムドリル	122
10	カムドリル	80
10.3	カムドリル	81
10.5	カムドリル	116
11	カムドリル	82
11.5	カムドリル	83
11.7	カムドリル	123
12	カムドリル	85
12.5	カムドリル	86
12.7	カムドリル	127
13	カムドリル	87
13.5	カムドリル	106
14	カムドリル	88
14.5	カムドリル	128
15	カムドリル	84
15.5	カムドリル	89
15.7	カムドリル	125
16	カムドリル	90
16.5	カムドリル	126
17	カムドリル	119
17.5	カムドリル	107
18	イスカルドリル	91
19	カムドリル	124
19.5	カムドリル	95
20	イスカルドリル	92
21	カムドリル	103
22	カムドリル	104
23	イスカルドリル	100
24	イスカルドリル	96
25	カムドリル	115
26	イスカルドリル	99
27	イスカルドリル	97
30	イスカルドリル	129
31	イスカルドリル	94
33	イスカルドリル	93
